text,created_at
"RT @FDAfood : #Teachers: Looking for #nutrition resources to share with your students? Read the Label has fun, educational materials for kids ages 9–13. https://t.co/zR1hlZ0xYl #NewNutritionFactsLabel https://t.co/8Dzozy7hX8",8/27/2020
"Drinking only a small amount of hand sanitizer is potentially lethal to a young child, who may be attracted by a pleasant smell or brightly colored bottle. Learn more on safe use of hand sanitizer: https://t.co/Daj5flOYYh",8/27/2020
A consumer reported buying a bottle they thought to be drinking water but was in fact hand sanitizer. Another reported a hand sanitizer product marketed with cartoons for children in a pouch that resembles a snack.,8/27/2020
"FDA has found that some hand sanitizers are being packaged in beer cans, children’s food pouches, water bottles, juice bottles &amp; vodka bottles. Some even contain food flavors, such as chocolate or raspberry. Hand sanitizer can be toxic when ingested.",8/27/2020
"Beware of alcohol-based hand sanitizers packaged in containers that may appear as food or drinks. These products may put you and your family at risk of serious injury, or death, if ingested. https://t.co/L77zYoyT2X https://t.co/VkHdC0UQ7l",8/27/2020
"The emergency use authorization was issued to Abbott Diagnostics Scarborough, Inc for its BinaxNOW COVID-19 Ag Card, named because it’s an antigen test (Ag) run on a card.",8/27/2020
"This test is authorized for certain point-of-care settings, like a doctor’s office, emergency room, and even potentially non-health care settings like schools. It’s authorized for use in patients suspected of #COVID19 by their healthcare provider within 7 days of symptom onset.",8/27/2020
"FDA issued an emergency use authorization (EUA) for the first antigen #COVID19 test where results can be read directly from the testing card, a similar design to some pregnancy tests. https://t.co/e6DZtvxst7 https://t.co/FZ0IEyPWpE",8/27/2020
"To date, the  FDA has currently authorized 224 tests under EUAs; these include 181 molecular tests, 40 antibody tests, and 3 antigen tests.",8/27/2020
We posted a new “FDA Insight” podcast that focuses on drug shortages and how the #COVID19 pandemic can impact the drug supply chain. You can check out episode 10 and prior episodes here. https://t.co/0NYpKdDACd,8/27/2020
"Read today’s FDA Daily Roundup for a look at some of our latest activities in response to #COVID19.
https://t.co/I9gLivsdDE https://t.co/jCmesiihg7",8/27/2020
"RT @FDATobacco : On Aug. 19, 2020, a U.S. District Court issued a ruling, in part, to prohibit FDA enforcement of premarket authorization requirement for premium cigars until after the agency considers developing a streamlined substantial equivalence process specifically for premium cigars. https://t.co/fNUdRT44bX",8/26/2020
What’s the perfect way to celebrate #NationalDogDay? It’s not feeding your dog cake. Some foods meant for human consumption can be harmful to your dogs. Learn what foods are on the top of the list. https://t.co/9v2c4Ek6kr https://t.co/QcXg6iSuWG,8/26/2020
"RT @SteveFDA : Since the early days of the #COVID19 pandemic, I've said that FDA will use science and data to make decisions on treatments and vaccines. I'm absolutely committed to that. https://t.co/uhN83hdOf9",8/26/2020
"RT @FDAPatientinfo : How is the #COVID19 pandemic affecting people living with rare diseases and their families? Join @US_FDA and @RareDiseases for a virtual listening session on Wed, 9/16 at 2 PM EDT. Register now: https://t.co/cHPKl5lM0B https://t.co/HZPTXowcEz",8/26/2020
RT @HHSGov : Keep yourself and your loved ones safe! Follow these health and safety tips if you're in the path of Hurricane #Laura: https://t.co/VWwl2wZObi #HurricaneLaura https://t.co/MWGoKxIHiX,8/26/2020
Do you know if you are up to date on vaccines? Fill out this quick assessment to find out which vaccines might be right for you: https://t.co/GbJ9CUHSkM #NationalImmunizationAwarenessMonth #NIAM #ivaxtoprotect https://t.co/rmsEWSaT2g,8/26/2020
"Today, FDA Commissioner @SteveFDA spoke to Bloomberg on the FDA's decision-making process.
https://t.co/fQJwoyL7Cq",8/26/2020
"To date, the FDA has currently authorized 221 tests under EUAs; these include 179 molecular tests, 39 antibody tests, and 3 antigen tests.",8/25/2020
We approved an Abbreviated New Drug Application for a drug for treatment or prevention of bronchospasm in patients 4 years &amp; older with reversible obstructive airway disease and prevention of exercise-induced bronchospasm in patients 4 years &amp; older. https://t.co/DIRQ0ZW8ex,8/25/2020
Is your hand sanitizer on FDA’s list of products you should not use? Our testing uncovered that some hand sanitizers carry toxic ingredients. An FDA Consumer Update provides information to find out if your product is on the list. https://t.co/oEKOoSZRYf,8/25/2020
"For a look at some of the FDA’s latest actions in response to the #COVID19 pandemic, read our Daily Roundup. https://t.co/6QaO6XfuPp https://t.co/0RdakoYyqe",8/25/2020
"August is #NationalWellnessMonth. In this PSA, actor Tim Reid discusses the rare disorder, #ReyesSyndrome, which may strike children recovering from chicken pox or the flu, and the increased risk aspirin may cause. #FDAhistory #TuesdayThoughts https://t.co/UQIXTgUkEy",8/25/2020
"On this week’s episode of #FDAInsight, we discuss #COVID19 and how it affects the drug supply chain. 

Subscribe on your favorite app!

Apple: https://t.co/yQ2FfaC9H7 
Google: https://t.co/bWEfQbqM76 
Pandora: https://t.co/5tYkCeMUtx 
Spotify: https://t.co/LmpK4aofxY",8/25/2020
"Commissioner @SteveFDA on @CBSThisMorning today: ""The Mayo Clinic convalescent plasma program has shown that there are promising efficacy data as well as safety associated with plasma.""

Professionals &amp; scientists at FDA independently made this decision with his support, he said. https://t.co/tmHS8bpowD",
"Before you buy hand sanitizer or use hand sanitizer you have at home, check our list. No consumer hand sanitizer is FDA-approved, so that claim on any consumer hand sanitizer product is not trustworthy. https://t.co/t0QZYXTvX0",8/25/2020
FDA testing uncovered potentially toxic ingredients in some hand sanitizers. There are more than 150 hand sanitizers we recommend you stop using right away.,8/25/2020
Is your hand sanitizer on FDA’s list of products you should not use? We discovered serious safety concerns with some hand sanitizers during recent testing. https://t.co/OUTFvAcM0b,8/25/2020
"Looking for fun, educational activities for your kids? Our Read the Label page features printable interactive activities to help kids learn more about the different parts of the Nutrition Facts label, like servings, calories, and nutrients: https://t.co/IgU00FyhSq https://t.co/jceyuakb5A",8/25/2020
"To date, the FDA has currently authorized 221 tests under EUAs; these include 179 molecular tests, 39 antibody tests, and 3 antigen tests.",8/24/2020
"To encourage the development of tests to screen people who do not have #COVID19 symptoms and pooled sample testing, FDA posted a new webpage with resources on SARS-CoV-2 screening testing and testing using pooled samples. https://t.co/Vh2JNeoPGE",8/24/2020
Check out today’s Daily Roundup for a look at some of the FDA’s most recent activities in response to the #COVID19 pandemic. https://t.co/yqf7JTvEvU https://t.co/HPsbwNewKt,8/24/2020
"#ALS – amyotrophic lateral sclerosis, sometimes known as Lou Gehrig’s disease – is a rapidly progressive, fatal disease that affects the neurons or nerve cells in the brain and spinal cord that control voluntary muscle movement: https://t.co/U6mHSt3FWT",8/24/2020
"While the agenda is still being finalized, the workshop series aims to highlight current progress in basic and clinical #ALSresearch &amp; will identify opportunities to move forward scientific policy &amp; infrastructure in a way that could lead to innovation.",8/24/2020
"FDA, in partnership with @DukeMargolis Center for Health Policy, is excited to announce a 2020/2021 workshop series on therapeutic advancements for #ALSresearch. https://t.co/Q8kDgogH30 https://t.co/sCQfWSpzEK",8/24/2020
"FOOD OUTBREAK UPDATE: Do not eat, sell, or serve Prima Wawona-brand peaches as FDA, @cdcgov Salmonella Enteritidis investigation continues. Loose/bulk and bagged peaches sold at several retailers have been recalled nationwide https://t.co/53K4HX65HG. https://t.co/i5M9uHOpDk",8/24/2020
"RT @FDAMedia : As part of our efforts to assess variation in product quality, we’ve undertaken the largest sampling study of some of the most difficult-to-make prescription drugs manufactured for the U.S. market from the U.S. and around the world. https://t.co/3qsMyL47C2 https://t.co/qivLpGKy2K",8/24/2020
"The @CDCgov recommends the use of face coverings to slow the spread of COVID-19, but #DYK that masks should only be worn by children over the age of two? Learn more: https://t.co/MpPNSkdmnm https://t.co/Q37qqCcrs2",8/24/2020
RT @FDAfood : Baking and cooking with flour? Check out these 5 important things to know when dealing with this raw food. https://t.co/vgztpZgXoL  #foodsafety https://t.co/cdefRU4HHz,8/24/2020
"We're going to continue to gather data, but this clearly meets the criteria that we've established for emergency use authorization, and we're very pleased with these results. -- FDA Commissioner @SteveFDA at a @WhiteHouse press conference discussing the convalescent plasma EUA. https://t.co/OOa8ejT15B",8/23/2020
“In the independent judgment of experts and expert scientists at FDA ... #COVID19 convalescent plasma is safe and shows promising efficacy thereby meeting the criteria for an emergency use authorization.” -- FDA Commissioner @SteveFDA https://t.co/7jVsbcujMJ,8/23/2020
"A 35 percent improvement in survival is a pretty substantial clinical benefit, FDA Commissioner @SteveFDA said in relation to the convalescent plasma emergency use authorization issued today. https://t.co/Dd97vLSZeL",8/23/2020
WATCH LIVE! @POTUS and @SteveFDA discuss progress in the fight against #COVID19. https://t.co/d4kqsa4t4I,8/23/2020
“I am committed to releasing safe and potentially helpful treatments for #COVID19 as quickly as possible in order to save lives.” – FDA Commissioner @SteveFDA,8/23/2020
"Additionally, the known and potential benefits of the product, when used to treat #COVID19, outweigh the known and potential risks of the product and that that there are no adequate, approved, and available alternative treatments.",8/23/2020
We determined that it is reasonable to believe that #COVID19 convalescent plasma may be effective in lessening the severity or shortening the length of COVID-19 illness in some patients.,8/23/2020
"The EUA authorizes the distribution of #COVID19 convalescent plasma in the U.S. and its administration by health care providers, as appropriate, to treat suspected or laboratory-confirmed COVID-19 in hospitalized COVID-19 patients.",8/23/2020
"Today, we issued an emergency use authorization (EUA) for investigational convalescent plasma for the treatment of hospitalized COVID-19 patients as part of the agency’s ongoing efforts to fight #COVID19. https://t.co/sxWrblWsxr https://t.co/DnTrJaDTX1",8/23/2020
"RT @Surgeon_General : If you plan to use rideshares or taxis, protect yourself &amp; others from #COVID19 during your ride. Wear a cloth face covering, as able, and practice hand hygiene when leaving the vehicle AND when you arrive at your destination. 

More tips from @CDCgov: https://t.co/tJ5TX2VxKc https://t.co/yBiMqhWxz0",8/22/2020
"To date, the FDA has currently authorized 218 tests under EUAs; these include 176 molecular tests, 39 antibody tests, and 3 antigen tests.",8/21/2020
We issued a letter to health care providers &amp; facilities alerting them that passive protective barriers (without negative pressure) may pose an increased health risk to patients and providers when treating patients with known or suspected #COVID19. https://t.co/rEfOnKSVFT,8/21/2020
"We issued an emergency use authorization to NovaSterilis, Inc., for its Nova2200 to decontaminate compatible N95 respirators for single-user reuse by healthcare personnel when there are insufficient supplies of face-filtering respirators. https://t.co/PlAJE6gQrG",8/21/2020
Here’s a look at some of the FDA’s most recent activities in our ongoing response to the #COVID19 pandemic. https://t.co/Bn7AKlfWXe https://t.co/uJ6MIN0ohR,8/21/2020
RT @FDADeviceInfo : The @US_FDA is informing healthcare providers and facilities that using passive (without negative pressure) protective barrier enclosures when caring for patients with #COVID19 may pose increased health risk to patients and providers. Find out more. https://t.co/vNYA5faGAN https://t.co/WeSHBFu4V6,8/21/2020
"How is the #COVID19 pandemic affecting people living with rare diseases and their families? 

Tune in to this virtual  listening session to hear about this topic and more. 

Make sure to register at:  https://t.co/9Vsrx5YmSp https://t.co/YwbOWmkMS1",8/21/2020
"#DYK senior citizens are more prone to contracting foodborne illnesses? 

This #NationalSeniorCitizensDay help us educate your older loved ones on food safety made just for them!

 https://t.co/yvUzXzA7EJ https://t.co/Kfs0aQG6sE",8/21/2020
"To date, the FDA has currently authorized 218 tests under EUAs; these include 176 molecular tests, 39 antibody tests, and 3 antigen tests.",8/21/2020
FDA and OSHA developed the Employee Health and Food Safety Checklist for Human and Animal Food Operations During the COVID-19 Pandemic. The checklist will help the food industry with operational changes it may have as a result of #COVID19. https://t.co/8POck1ZnTS,8/21/2020
"We issued a warning letter to Predictive Biotech, Inc. for marketing CoreCyte, an unapproved product claiming to mitigate, prevent, treat diagnose and/or cure #COVID19. FDA &amp; FTC issued a separate letter to PA Green Wellness, LLC, regarding CoreCyte. https://t.co/hgvVy5xM3K",8/21/2020
"FDA, in conjunction with FTC, issued a warning letter to Living Senior, LLC for selling cannabidiol (CBD) products with misleading claims they can mitigate, prevent, treat, diagnose, or cure #COVID19 in people. https://t.co/s3eEJN5rdl",8/21/2020
"We released a temporary guidance for industry, “Manufacturing, Supply Chain, and Drug and Biological Product Inspections During COVID-19 Public Health Emergency Questions and Answers.” https://t.co/l6iANu9Gbe",8/21/2020
The FDA works tirelessly against #COVID19. Read today’s Daily Roundup for a look at some of our latest actions. https://t.co/ZNsl2KaYel https://t.co/F0GoyPrgvG,8/21/2020
"RT @FDADeviceInfo : As part of the @US_FDA’s continued efforts to protect patients’ health and help ensure the safety of breast implants, we have posted several updates to our website. Learn more. https://t.co/iL9JLoPePS",8/20/2020
#ContactLensHealthWeek #ProtectYourEyes https://t.co/SdY8E38MgM,8/20/2020
#ICYMI https://t.co/X9KhpnxJig,8/20/2020
"When life gives you lemons, make #lemonade, BUT first make sure they’re clean! #NationalLemonadeDay https://t.co/HAzYvY7iQR https://t.co/CH1BgRkVzp",8/20/2020
"FDA, @CDCgov and partners are alerting consumers to avoid recalled Wawona-brand bagged peaches sold at ALDI after being linked to a new Salmonella Enteritidis outbreak. FDA’s traceback continues to determine the source of contamination. https://t.co/53K4HX65HG https://t.co/2Rl47ZXfr0",8/20/2020
"To date, the FDA has currently authorized 218 tests under EUAs; these include 176 molecular tests, 39 antibody tests, and 3 antigen tests.",8/20/2020
We posted answers to questions about using UV lights and lamps to disinfect surfaces in the home during the #COVID19 pandemic. Read the FAQs for consumers on ultraviolet-C radiation lamps and coronavirus. https://t.co/FTssjzObzW,8/20/2020
"We issued an EUA for a #COVID19 antigen diagnostic test, the LumiraDX SARS-CoV-2 Ag Test.  It’s the 3rd antigen test we’ve authorized for #COVID19. https://t.co/WK4mEJvMvj",8/20/2020
The FDA continues to combat #COVID19. Here’s a look at some of our most recent actions to protect the public and keep people informed. https://t.co/U2iJPYpK7B https://t.co/Izn01phVX1,8/20/2020
RT @SteveFDA : Really enjoyed yesterday’s productive meeting with @GovHerbert and state public health officials discussing Utah’s #COVID19 response and @US_FDA’s continued efforts throughout the pandemic. https://t.co/7EMECog9Tz,8/20/2020
"RT @Surgeon_General : Vaccines are safe, effective, and they keep your child and your entire community healthy. If your child has missed vaccinations during the #COVID19 pandemic, contact your provider today to #CatchUpGetAhead. #ivax2protect #WellChildWednesday https://t.co/yCJn2lA6sj",8/19/2020
"Applications for premarket review for deemed new tobacco products on the market as of 8/8/16 are required to be filed by 9/9/20. To help manufacturers preparing and submitting applications, @FDATobacco has some tips: https://t.co/eHEdTIFS9J",8/19/2020
"OUTBREAK UPDATE: Additional recalls have been initiated by companies that sold onions or products containing recalled onions. The FDA has published this list of Recalls of Food Products Associated with Onions from Thomson International, Inc. https://t.co/qRPFg7FPOW. https://t.co/p1vtzHnxCa",8/19/2020
"RT @FDAWomen : #DYK many women have HPV, but they don’t show signs? The HPV vaccine may help prevent HPV-related diseases like cervical cancer. Learn more about HPV &amp; steps you can take to protect yourself: https://t.co/RqW8SFOZYt #ImmunizationAwarenessMonth https://t.co/sO2YIixY6B",8/19/2020
"To date, the FDA has currently authorized 217 tests under EUAs; these include 176 molecular tests, 39 antibody tests, and 2 antigen tests.",8/18/2020
We updated our COVID-19 Resources for Health Professionals page to include the CURE ID app. CURE ID allows clinicians to quickly and easily share their experiences treating #COVID19 patients and those with other difficult-to-treat infectious diseases. https://t.co/wxFaMJsAMY,8/18/2020
"For manufacturers and distributors, we’re providing a flow chart and information on manufacturing and distributing respirators for health care use in the U.S. under and existing emergency use authorization (EUA) during the #COVID19 pandemic. https://t.co/txgStaBM4D",8/18/2020
"To help health care providers and facilities, we are providing a flow chart and supporting information on considerations for selecting respirators for a health care facility.  https://t.co/tu77FvrQot",8/18/2020
Here’s the latest in the FDA’s ongoing response to the #COVID19 pandemic. https://t.co/o6fO1mDBki https://t.co/Xy2c858Iih,8/18/2020
"Today, @SteveFDA, @AnandShahFDA, Dr. Shuren (CDRH), Dr. Marks (CBER), and Dr. Cavazzoni (CDER), published a four-part series in @Health_Affairs describing FDA’s response to #COVID19. https://t.co/Y5JqyK8Lbk",8/18/2020
"August is #NationalWellnessMonth. In this PSA, actress @KimVFields talks about the dangers of giving aspirin to children who are recovering from a viral infection, such as chicken pox or the flu, and how it can increase the risk of #ReyesSyndrome.#FDAHistory https://t.co/EYzLhzTnKn",8/18/2020
"Combating health fraud is serious  in the age of #COVID19. Join us for more on this week's episode of #FDAInsight. Subscribe on your favorite app! 
Apple: https://t.co/yQ2FfaC9H7 
Google: https://t.co/bWEfQbqM76 
Pandora: https://t.co/5tYkCeMUtx 
Spotify: https://t.co/LmpK4aofxY",8/18/2020
"RT @FDATobacco : On June 30, FDA issued SE orders for six new waterpipe filler tobacco products manufactured by Al Fakher Distribution USA, Inc. The only change from the predicate products was reducing the quantity of each product from 250 grams to 50 grams. https://t.co/kIfJsfft5L",8/18/2020
"RT @FDATobacco : On April 3, FDA issued exempt orders for four new waterpipe filler tobacco products. These are the first FDA marketing orders for waterpipe products, but that does not mean these products are safe or “FDA-approved.” There are no safe tobacco products. https://t.co/sQ4RrfpB0N",8/18/2020
"Vegetables and meat might belong together in a #fajita but not before. When you’re shopping today for your favorite #fajita fixings, make sure to keep your foods separate to avoid foodborne illnesses. https://t.co/Sf94Akk4UV #NationalFajitaDay https://t.co/S42HAEBla7",8/18/2020
"To date, the FDA has currently authorized 214 tests under EUAs; these include 175 molecular tests, 37 antibody tests, and 2 antigen tests.",8/17/2020
FDA and the @FTC jointly issued a warning letter to a company called the SilveryGuy for selling fraudulent COVID-19 related products. There are currently no FDA-approved products to prevent or treat #COVID19. https://t.co/7kq5cr31Io,8/17/2020
"We issued an emergency use authorization (EUA) to Yale School of Public Health for its SalivaDirect #COVID19 diagnostic test, which uses a new method of processing saliva samples. https://t.co/l3sHtGBleC",8/17/2020
The FDA continues to protect the public and facilitate access to needed medical products as we respond to the #COVID19 pandemic. Here’s a look at some of our latest actions. https://t.co/OJECMZZqrl https://t.co/pYBtO5wI0P,8/17/2020
"Is #NationalWellnessMonth having you more particular about what you’re putting in your body? Find out our role in how your food is safely regulated, processed, packaged, and labeled. https://t.co/4mSHELTdc2 https://t.co/fVMoYp5Wgt",8/17/2020
"RT @CDCgov : Practice everyday #foodsafety during #COVID19. Clean fruits &amp; vegetables at home by gently rinsing them under cold, running water. Do not use soap, bleach, sanitizer, alcohol or any other disinfectant, even if you will not be eating the peel. Learn more: https://t.co/VRBGvHioKN. https://t.co/GfAqgd26r2",8/17/2020
"#DYK there are 3 types of #breastpumps? If you’re giving your baby #breastmilk, you probably know there can be times when a #breastpump can come in handy. Find out which one works best for you and your lifestyle. https://t.co/IPlHjNeUES #NationalBreastfeedingMonth #NBM20 https://t.co/UhhCQ5pi9U",8/17/2020
"Since the saliva sample is self-collected under the observation of a health care professional, this test could also potentially lower the risk posed to health care workers responsible for sample collection.",8/15/2020
"Being able to perform a test without extraction kits can increase testing capacity and reduce the strain on resources. Also, the test can be used more broadly with different combinations of commonly used reagents and instruments.",8/15/2020
"With this test, a saliva sample can be collected in any sterile container. The test doesn’t need a special swab or collection device, or a separate nucleic acid extraction step.",8/15/2020
"Today, we issued an emergency use authorization to @Yale for its SalivaDirect #COVID19 diagnostic test, which uses a new method of processing saliva samples. This is the 5th test FDA has authorized using saliva as a sample for testing. https://t.co/UpmAA4Kl3l https://t.co/GYeX5XZD28",8/15/2020
"To date, the FDA has currently authorized 213 tests under EUAs; these include 174 molecular tests, 37 antibody tests, and 2 antigen tests.",8/15/2020
We issued an emergency use authorization for use of Baxter Healthcare Corporation’s REGIOCIT for adult patients being treated with continuous renal replacement therapy and for whom regional citrate anticoagulation is appropriate. https://t.co/JUqEjdGpk2,8/15/2020
"FDA issued an updated FDA COVID-19 Response At-A-Glance Summary that provides a quick look at facts, figures, and highlights of the agency's response efforts. https://t.co/gLbMOHbgih",8/15/2020
We are providing a device shortage list that reflects the categories of devices we have determined to be in shortage and a list of medical devices for which manufacturing has been permanently discontinued. https://t.co/0gxWAZYKLf,8/15/2020
FDA continues to combat #COVID19. Read our Daily Roundup for a look at some of our most recent actions. https://t.co/fDkQwUpJJv https://t.co/PwBKgW5xRI,8/15/2020
"RT @FDA_Drug_Info : On August 5 and August 14, 2020, FDA recommended that Maison Terre recall their goldenseal root powder product. To date, the company has not taken action to remove these dangerous products from the market.",8/14/2020
"RT @FDA_Drug_Info : Use of these contaminated products can cause serious infections with severe outcomes, including death, especially in vulnerable patients with compromised immune systems and infants. FDA is aware of one infant death associated with use of this product on the umbilical cord stump.",8/14/2020
RT @FDA_Drug_Info : FDA advises consumers and health care professionals not to use goldenseal root powder repackaged and distributed by Maison Terre due to microbial contamination: https://t.co/piLJndipPd https://t.co/EMrzt1izwJ,8/14/2020
"The FDA today provided an update on the investigation of Cyclospora illnesses tied to the consumption of bagged salads, including a new method to sample for Cyclospora in agricultural water for the first time in a field investigation: https://t.co/tKNhN8Zxay https://t.co/eQ3jSBGJ26",8/14/2020
"RT @FDAfood : Dining outside this weekend? If your picnic site doesn’t offer clean water access, bring water, hand sanitizer, or pack moist towels for cleaning surfaces and hands. https://t.co/CLL3BiPoaD #FoodSafety #WashYourHands https://t.co/jni3O3mC3g",8/14/2020
"These new regulatory tools may help replace, reduce and refine animal testing, helping to bring FDA-regulated products to market faster, with improved efficacy, or prevent products with increased toxicological risk from reaching the market.",8/14/2020
"FDA’s Alternative Methods Working Group, comprised of FDA scientists from across the agency, is launching a webinar series, where we’re inviting developers to share their cutting-edge technologies with FDA scientists. https://t.co/utxV8HapE5",8/14/2020
Are you planning a weekend trip? Make a list of the medications you’ll need while away. And don’t forget to check that you have enough to last the entire trip. More healthy vacation tips here: https://t.co/5zAUYwUYVz https://t.co/OBqInpr4o4,8/14/2020
"To date, the FDA has currently authorized 212 tests under EUAs; these include 173 molecular tests, 37 antibody tests, and 2 antigen tests.",8/13/2020
"FDA recently issued warning letters to sellers because their tests were adulterated and misbranded: AkivaMed Inc., CoreMedica Laboratories, Inc., Fair Price Labs, Inc., and Holistic Health International, LLC https://t.co/hgvVy5xM3K",8/13/2020
"We are warning people about certain hand sanitizer products, including those manufactured by Harmonic Nature S de RL de MI in Mexico, that are labeled to contain ethanol or isopropyl alcohol but have tested positive for 1-propanol contamination. https://t.co/DyIZmVw5qi",8/13/2020
FDA has taken more steps to help protect the public during the #COVID19 pandemic. Here’s the latest in our ongoing response. https://t.co/hyivqXJMGB https://t.co/dL2HGX17bx,8/13/2020
"Kroger, Fry’s Food Stores, Fred Meyer, and Smith’s have initiated recalls for cheese dips containing recalled red, white, yellow or sweet onions. Walmart, Kroger, and Food Lion have also provided information on recalled onions sold in retail locations. https://t.co/qRPFg7FPOW https://t.co/ohJ5EXpMHo",8/13/2020
Don’t lose sight of your fitness goals while quarantined. Did you know you stand a higher chance of having high blood pressure if you do not exercise regularly? Learn more: https://t.co/8uMhn46qoi #NationalWellnessMonth https://t.co/k04qbH5jPR,8/13/2020
"RT @CDCgov : If you have been exposed to #COVID19, stay home and self-quarantine away from others for 14 days. Take these steps to #SlowtheSpread: https://t.co/9ZN2zYTaud. https://t.co/dyAglNiGaL",8/13/2020
RT @FDAPatientinfo : Participating in a clinical trial during the #COVID19 pandemic? Here’s what you need to know about how clinical trials may change due to #COVID: https://t.co/fMThQVMNzx https://t.co/MU4Bl7zhRi,8/13/2020
RT @CDCgov : Take steps to keep your friends and family safe when visiting those at higher risk for severe illness from #COVID19. Learn more at https://t.co/EFZZhvP0qh. https://t.co/8uWbBB2izk,8/13/2020
"To date, the FDA has currently authorized 212 tests under EUAs; these include 173 molecular tests, 37 antibody tests, and 2 antigen tests.",8/12/2020
"We cleared for marketing in the U.S. a surgical gown and 3 polymer patient examination gloves intended for medical purposes to provide a barrier against potentially infectious materials and other contaminants, including for use during #COVID19.",8/12/2020
"The FDA and FTC jointly issued a warning letter to Oxford Medical Instruments USA, Inc. for selling “OMI Salt Therapy Pipes” with misleading claims that the product can mitigate, prevent, treat, diagnose, or cure COVID-19 in people. https://t.co/pTLE6q2dnP",8/12/2020
"We published a Consumer Update with tips on how we can each take some simple steps to help slow the spread of coronavirus disease and protect ourselves, our families and our communities. https://t.co/ESDsVbQERu",8/12/2020
"FDA has taken more action to help health care providers and the public stay safe during the #COVID19 pandemic. For the latest in our ongoing response, read today’s Daily Roundup. https://t.co/qxwqNNDYtT https://t.co/I4qe0m36As",8/12/2020
"RT @FDA_Drug_Info : Today, we expanded our hand sanitizer warnings to include certain products labeled to contain ethanol or isopropyl alcohol but have tested positive for 1-propanol contamination, which can be toxic and life-threatening when ingested: https://t.co/gjG5RaLIGv https://t.co/6kemfDjxcS",8/12/2020
